journal,abstract,characters,tokens,score
Arch Pathol Lab Med,An investigation was conducted to evaluate the use of magnetic resonance imaging (MRI) for the diagnosis of endometrial cancer. Results showed that MRI had high accuracy in detecting endometrial cancer and could be used as a non-invasive alternative to traditional biopsy methods.,280,54,0.9897301197052002
Arch Pathol Lab Med,"A study was performed to determine the impact of tumor mutational burden on response to immunotherapy in patients with non-small cell lung cancer. Results showed that high tumor mutational burden was associated with better response to immunotherapy, indicating that mutational burden could be a useful predictor of response to treatment.",337,60,0.9985629916191101
Arch Pathol Lab Med,The expression of miRNAs in glioblastoma was studied in a patient cohort. Results showed that specific miRNAs were differentially expressed in glioblastoma and could serve as potential therapeutic targets in the future.,219,47,0.889786958694458
Arch Pathol Lab Med,A study was performed to evaluate the use of blood-based biomarkers for the early detection of ovarian cancer. Results showed that the biomarkers had high accuracy in detecting ovarian cancer and could be used as a non-invasive alternative to traditional biopsy methods.,270,52,0.997502863407135
Arch Pathol Lab Med,An investigation was conducted to determine the impact of obesity on the development and progression of esophageal cancer. Results showed that obesity was associated with advanced stage and poor prognosis in esophageal cancer patients. These findings highlight the importance of controlling obesity in the management of esophageal cancer.,338,61,0.9876947402954102
Arch Pathol Lab Med,The role of epigenetic modifications in the progression of oral squamous cell carcinoma was studied in a patient cohort. Results showed that specific epigenetic modifications were associated with advanced stage and poor prognosis. These findings suggest that epigenetic modifications may play a crucial role in the development and progression of oral squamous cell carcinoma.,375,65,0.9912372827529907
Arch Pathol Lab Med,A study was performed to determine the impact of smoking on the development and progression of lung cancer. Results showed that smoking was strongly associated with advanced stage and poor prognosis in lung cancer patients. These findings highlight the importance of quitting smoking in the management of lung cancer.,317,53,0.9748921990394592
Arch Pathol Lab Med,An investigation was conducted to evaluate the use of positron emission tomography (PET) imaging for the diagnosis of lymphoma. Results showed that PET imaging had high accuracy in detecting lymphoma and could be used as a non-invasive alternative to traditional biopsy methods.,278,54,0.9832589626312256
Arch Pathol Lab Med,The expression of tumor suppressor genes in gastric cancer was studied in a patient cohort. Results showed that reduced expression of specific tumor suppressor genes was associated with aggressive subtypes and poor prognosis. These findings suggest that tumor suppressor genes could serve as potential therapeutic targets in the future.,336,58,0.9931134581565857
Arch Pathol Lab Med,A study was performed to determine the impact of radiation exposure on the development and progression of thyroid cancer. Results showed that radiation exposure was associated with advanced stage and poor prognosis in thyroid cancer patients. These findings highlight the importance of limiting radiation exposure in the management of thyroid cancer.,350,55,0.9971312284469604
Arch Pathol Lab Med,An investigation was conducted to evaluate the use of computed tomography (CT) imaging for the diagnosis of liver cancer. Results showed that CT imaging had high accuracy in detecting liver cancer and could be used as a non-invasive alternative to traditional biopsy methods.,275,52,0.9933030605316162
